name,classification,total_count,male_count,female_count,male_share,female_share,rank,prop100k,source
Juancarlos,male,14400,14381,19,0.998681,0.001319,1943,4.7677140575148416,census_2020_first_names_by_sex
Lorrie,female,14398,100,14298,0.006945,0.993055,1944,4.767051875006854,census_2020_first_names_by_sex
Luciana,female,14395,44,14351,0.003057,0.996943,1945,4.7660586012448709,census_2020_first_names_by_sex
Leonor,female,14390,199,14191,0.013829,0.986171,1946,4.7644031449749011,census_2020_first_names_by_sex
Nanette,female,14369,8,14361,0.000557,0.999443,1947,4.7574502286410247,census_2020_first_names_by_sex
Valarie,female,14355,26,14329,0.001811,0.998189,1948,4.7528149510851074,census_2020_first_names_by_sex
Myrtle,female,14323,38,14285,0.002653,0.997347,1949,4.7422200309572977,census_2020_first_names_by_sex
Kurtis,male,14318,14296,22,0.998463,0.001537,1950,4.7405645746873271,census_2020_first_names_by_sex
Luann,female,14310,24,14286,0.001677,0.998323,1951,4.7379158446553733,census_2020_first_names_by_sex
Eliseo,male,14308,14249,59,0.995876,0.004124,1952,4.7372536621473857,census_2020_first_names_by_sex
Princess,female,14300,46,14254,0.003217,0.996783,1954,4.7346049321154329,census_2020_first_names_by_sex
Kaleigh,female,14272,20,14252,0.001401,0.998599,1956,4.7253343770035983,census_2020_first_names_by_sex
Alexus,female,14261,257,14004,0.018021,0.981979,1957,4.7216923732096632,census_2020_first_names_by_sex
Brayan,male,14239,14169,70,0.995084,0.004916,1958,4.7144083656217939,census_2020_first_names_by_sex
Enzo,male,14207,14158,49,0.996551,0.003449,1959,4.7038134454939833,census_2020_first_names_by_sex
Elvin,male,14198,14026,172,0.987886,0.012114,1960,4.7008336242080366,census_2020_first_names_by_sex
Mira,female,14191,73,14118,0.005144,0.994856,1961,4.6985159854300775,census_2020_first_names_by_sex
Igor,male,14180,14161,19,0.998660,0.001340,1962,4.6948739816361433,census_2020_first_names_by_sex
Shayna,female,14154,12,14142,0.000848,0.999152,1964,4.6862656090322963,census_2020_first_names_by_sex
Karyn,female,14141,24,14117,0.001697,0.998303,1965,4.6819614227303736,census_2020_first_names_by_sex
Ulises,male,14115,14065,50,0.996458,0.003542,1967,4.6733530501265275,census_2020_first_names_by_sex
Aurelia,female,14110,49,14061,0.003473,0.996527,1968,4.6716975938565568,census_2020_first_names_by_sex
Edgardo,male,14106,14088,18,0.998724,0.001276,1969,4.6703732288405808,census_2020_first_names_by_sex
